iter	Passed	Remaining
404	8492	12476
405	8513	12455
406	8536	12438
407	8557	12417
408	8580	12398
409	8602	12378
410	8622	12356
411	8645	12338
412	8667	12319
413	8688	12298
414	8710	12278
415	8730	12255
416	8751	12234
417	8773	12215
418	8796	12196
419	8818	12177
420	8839	12156
421	8860	12136
422	8883	12117
423	8904	12096
424	8926	12076
425	8947	12056
426	8967	12033
427	8990	12015
428	9012	11995
429	9033	11974
430	9054	11954
431	9075	11932
432	9099	11915
433	9119	11892
434	9141	11873
435	9164	11854
436	9184	11832
437	9203	11808
438	9225	11788
439	9245	11767
440	9268	11749
441	9290	11728
442	9312	11708
443	9334	11688
444	9352	11664
445	9373	11643
446	9395	11623
447	9417	11604
448	9441	11585
449	9464	11567
450	9485	11546
451	9507	11527
452	9528	11505
453	9550	11485
454	9572	11465
455	9592	11443
456	9613	11422
457	9634	11401
458	9655	11380
459	9676	11359
460	9698	11339
461	9718	11317
462	9739	11295
463	9759	11274
464	9782	11255
465	9802	11233
466	9824	11212
467	9846	11193
468	9870	11175
469	9892	11155
470	9913	11134
471	9936	11114
472	9957	11094
473	9977	11072
474	9997	11050
475	10017	11027
476	10042	11010
477	10062	10988
478	10082	10966
479	10106	10948
480	10127	10927
481	10149	10907
482	10170	10885
483	10191	10865
484	10213	10845
485	10235	10824
486	10255	10803
487	10278	10784
488	10300	10764
489	10321	10742
490	10341	10720
491	10362	10699
492	10383	10678
493	10409	10662
494	10433	10644
495	10455	10624
496	10478	10605
497	10499	10584
498	10521	10563
499	10544	10544
500	10566	10524
501	10587	10502
502	10608	10481
503	10632	10463
504	10653	10442
505	10676	10422
506	10697	10401
507	10717	10379
508	10737	10358
509	10760	10338
510	10780	10316
511	10802	10295
512	10821	10273
513	10841	10251
514	10864	10231
515	10883	10208
516	10905	10188
517	10926	10166
518	10948	10146
519	10970	10126
520	10992	10106
521	11016	10088
522	11039	10068
523	11060	10047
524	11082	10026
525	11103	10005
526	11122	9982
527	11144	9962
528	11163	9939
529	11183	9917
530	11205	9897
531	11222	9872
532	11244	9851
533	11265	9830
534	11285	9808
535	11308	9789
536	11328	9767
537	11350	9747
538	11372	9726
539	11395	9707
540	11420	9689
541	11444	9670
542	11468	9651
543	11488	9630
544	11511	9610
545	11532	9588
546	11554	9568
547	11577	9549
548	11597	9527
549	11618	9506
550	11640	9485
551	11663	9465
552	11684	9444
553	11705	9423
554	11726	9402
555	11748	9382
556	11770	9361
557	11792	9341
558	11814	9320
559	11834	9298
560	11855	9277
561	11877	9256
562	11899	9236
563	11922	9216
564	11944	9196
565	11966	9175
566	11987	9154
567	12009	9133
568	12032	9113
569	12054	9094
570	12075	9072
571	12096	9051
572	12117	9029
573	12141	9011
574	12162	8990
575	12184	8969
576	12204	8946
577	12224	8925
578	12246	8904
579	12269	8885
580	12288	8862
581	12309	8840
582	12332	8820
583	12353	8799
584	12375	8779
585	12398	8759
586	12423	8740
587	12444	8719
588	12466	8698
589	12487	8677
590	12507	8655
591	12530	8635
592	12552	8615
593	12574	8594
594	12595	8573
595	12620	8554
596	12641	8533
597	12661	8511
598	12683	8490
599	12705	8470
600	12725	8448
601	12749	8429
602	12771	8408
603	12793	8387
604	12815	8367
605	12839	8347
606	12860	8326
607	12883	8306
608	12902	8283
609	12924	8263
610	12944	8241
611	12966	8220
612	12988	8199
613	13010	8179
614	13031	8158
615	13053	8137
616	13072	8114
617	13093	8093
618	13117	8074
619	13137	8051
620	13159	8031
621	13179	8009
622	13201	7988
623	13223	7968
624	13245	7947
625	13267	7926
626	13288	7905
627	13309	7883
628	13329	7862
629	13350	7840
630	13370	7818
631	13394	7799
632	13416	7778
633	13440	7759
634	13462	7738
635	13486	7718
636	13509	7698
637	13530	7677
638	13551	7656
639	13571	7634
640	13593	7613
641	13616	7593
642	13637	7571
643	13659	7551
644	13679	7528
645	13700	7507
646	13724	7488
647	13746	7467
648	13767	7445
649	13789	7425
650	13810	7403
651	13831	7382
652	13852	7361
653	13874	7340
654	13895	7318
655	13917	7298
656	13938	7276
657	13958	7254
658	13977	7232
659	13998	7211
660	14021	7191
661	14041	7169
662	14063	7148
663	14082	7126
664	14103	7104
665	14125	7084
666	14148	7063
667	14168	7041
668	14188	7019
669	14209	6998
670	14231	6977
671	14252	6956
672	14273	6935
673	14295	6914
674	14318	6893
675	14348	6877
676	14378	6860
677	14401	6839
678	14428	6821
679	14452	6801
680	14477	6781
681	14499	6760
682	14521	6739
683	14541	6718
684	14565	6698
685	14589	6678
686	14612	6657
687	14633	6636
688	14653	6614
689	14676	6593
690	14698	6573
691	14721	6552
692	14743	6531
693	14766	6510
694	14788	6490
695	14812	6469
696	14833	6448
697	14853	6426
698	14874	6405
699	14894	6383
700	14916	6362
701	14940	6342
702	14961	6320
703	14981	6298
704	15001	6277
705	15024	6256
706	15046	6235
707	15070	6215
708	15096	6196
709	15118	6175
710	15139	6153
711	15160	6132
712	15182	6111
713	15203	6089
714	15225	6068
715	15245	6046
716	15267	6026
717	15290	6005
718	15314	5985
719	15333	5963
720	15359	5943
721	15381	5922
722	15408	5903
723	15431	5882
724	15454	5862
725	15475	5840
726	15496	5819
727	15519	5798
728	15541	5777
729	15563	5756
730	15583	5734
731	15602	5712
732	15624	5691
733	15646	5670
734	15668	5649
735	15689	5627
736	15710	5606
737	15732	5585
738	15755	5564
739	15775	5542
740	15796	5521
741	15822	5501
742	15845	5480
743	15869	5460
744	15891	5439
745	15915	5418
746	15936	5397
747	15957	5375
748	15979	5354
749	16000	5333
750	16019	5311
751	16042	5290
752	16064	5269
753	16086	5248
754	16109	5227
755	16130	5206
756	16151	5184
757	16172	5163
758	16193	5141
759	16212	5119
760	16234	5098
761	16255	5077
762	16277	5056
763	16297	5034
764	16316	5012
765	16342	4992
766	16367	4971
767	16389	4950
768	16411	4929
769	16432	4908
770	16454	4887
771	16473	4865
772	16495	4844
773	16514	4821
774	16537	4801
775	16557	4779
776	16578	4758
777	16598	4736
778	16620	4715
779	16639	4693
780	16660	4671
781	16683	4650
782	16705	4629
783	16725	4608
784	16748	4587
785	16768	4565
786	16789	4544
787	16813	4523
788	16834	4502
789	16855	4480
790	16876	4459
791	16899	4438
792	16921	4417
793	16943	4395
794	16964	4374
795	16986	4353
796	17007	4331
797	17030	4310
798	17051	4289
799	17073	4268
800	17096	4247
801	17118	4226
802	17139	4204
803	17159	4183
804	17182	4162
805	17204	4141
806	17225	4119
807	17246	4098
808	17269	4077
809	17290	4055
810	17311	4034
811	17334	4013
812	17356	3992
813	17378	3970
814	17402	3950
815	17427	3929
816	17453	3909
817	17481	3889
818	17510	3869
819	17536	3849
820	17562	3829
821	17589	3809
822	17619	3789
823	17643	3768
824	17670	3748
825	17693	3727
826	17714	3705
827	17736	3684
828	17757	3662
829	17780	3641
830	17800	3620
831	17822	3598
832	17844	3577
833	17868	3556
834	17889	3535
835	17915	3514
836	17936	3492
837	17957	3471
838	17978	3449
839	17999	3428
840	18021	3407
841	18041	3385
842	18063	3364
843	18084	3342
844	18104	3321
845	18128	3300
846	18150	3278
847	18171	3257
848	18194	3235
849	18217	3214
850	18238	3193
851	18257	3171
852	18279	3150
