iter	RMSE
0	0.03657559102
1	0.03552376639
2	0.03454075621
3	0.03358794934
4	0.03269415116
5	0.03182939295
6	0.03100581868
7	0.03024977915
8	0.02954183438
9	0.02884858945
10	0.02819731787
11	0.02757823507
12	0.02696851315
13	0.02640586826
14	0.02584827795
15	0.02532053929
16	0.02489711752
17	0.02450675775
18	0.02411143794
19	0.02368846713
20	0.0232627418
21	0.02286352962
22	0.02254881952
23	0.02219198016
24	0.02188772005
25	0.02152899746
26	0.02121258875
27	0.02090147633
28	0.02058350104
29	0.02026904148
30	0.02005071031
31	0.01977375536
32	0.01949079886
33	0.01922982062
34	0.01898186182
35	0.01874571738
36	0.01855534985
37	0.01831879524
38	0.01815397466
39	0.01793567976
40	0.01775992356
41	0.0175576856
42	0.01735890571
43	0.01722563297
44	0.01705206604
45	0.01692716449
46	0.01676450408
47	0.0166036473
48	0.01643841621
49	0.01629906825
50	0.01614823053
51	0.01600321856
52	0.01589890843
53	0.01576741742
54	0.01564390647
55	0.0155533802
56	0.01543301495
57	0.01529678128
58	0.01517353842
59	0.01506347979
60	0.01493916934
61	0.01482907947
62	0.01468589082
63	0.01457446368
64	0.01447036557
65	0.01438383917
66	0.01428128605
67	0.01420413737
68	0.01412329078
69	0.01402829656
70	0.01389569381
71	0.01382276679
72	0.01369737198
73	0.01359547244
74	0.01350000986
75	0.01340446689
76	0.01331038384
77	0.01322184455
78	0.0131593773
79	0.01307579927
80	0.0130224869
81	0.0129680459
82	0.01289259268
83	0.01282112432
84	0.01274792096
85	0.01267089913
86	0.01262689895
87	0.01258123772
88	0.01251500132
89	0.0124458477
90	0.01238853542
91	0.01232356304
92	0.01222894399
93	0.01217463749
94	0.01210942408
95	0.01204840708
96	0.01199289888
97	0.01192326988
98	0.01187134769
99	0.01178658873
100	0.0117339162
101	0.01168074012
102	0.01162005931
103	0.01156464801
104	0.01151509526
105	0.01146562907
106	0.01141916236
107	0.01137976264
108	0.01134352021
109	0.01127128802
110	0.01123889508
111	0.011201525
112	0.01116360602
113	0.01112106242
114	0.01107554636
115	0.01101814623
116	0.01097616141
117	0.01089820466
118	0.01085892373
119	0.01082730712
120	0.01078564929
121	0.01075179791
122	0.01071740726
123	0.01069139181
124	0.01066524681
125	0.01062536536
126	0.0105964539
127	0.01054780524
128	0.01052142787
129	0.01048417908
130	0.01041913434
131	0.01035637723
132	0.01031769676
133	0.01029002806
134	0.01026311192
135	0.01023370808
136	0.01020058037
137	0.01017929828
138	0.01014422309
139	0.0101075921
140	0.01008189809
141	0.01005571416
142	0.01001262221
143	0.009980871995
144	0.009960996775
145	0.009914764882
146	0.009895929132
147	0.009856535834
148	0.009828287698
149	0.009785004332
150	0.009746448413
151	0.009726789183
152	0.009692954557
153	0.009654689511
154	0.009613538215
155	0.009584463253
156	0.009534495405
157	0.009513717043
158	0.00947010374
159	0.009455243433
160	0.0094385666
161	0.009408491611
162	0.009388721671
163	0.009362790372
164	0.009343442126
